# 格式：阅读定位 | 今日知识点（分号分隔） | 唯一主任务 | 验收结果。每周严格 7 行。
# W01
softmax@7.2;norm@5.3|精度回归;支持边界;稳定性|在三种行长上补 FP16/FP32 回归并固定 dispatch 表|所有声明支持输入通过；失败路径可追踪；今天只修复，不加新优化
# W21
rope@5.5,8.1|配对加载;位置广播;尾部条件|实现项目 A 的 CUDA 或 Triton RoPE，接入统一 API|与 Python reference 对齐；position=0/不同位置两类通过；非法维度拒绝
rope@8.1;access@2.1|连续布局;合并访问;布局契约|选择并实现一种 RoPE 内存布局，另外一种走 fallback|输出位置与 reference 一致；转换成本单独记录；不把 layout 转换漏出 benchmark
ffn@4.4,9|SwiGLU;逐元素融合;GEMM 调库|做可选 SwiGLU pointwise fusion，GEMM 继续调用现有库|与未融合版本同输入一致；明确自写的是逐元素阶段，不是完整高性能 GEMM
vector@5.2;infer@3|同口径 baseline;原始数据;结果版本|统一 PyTorch/Triton/项目 A 的三类算子 benchmark，覆盖预设 shape|每条结果带版本、shape、dtype、误差、P50；不能比较的实现标 N/A
occupancy@5.1;access@6.3|退化分析;资源压力;错误归因|选择最慢的两个 shape，只对一个原因做验证实验|保留改前/改后数据和其他固定参数；结论区分测量、推断与尚未证实
infer@4.1,4.2|算术强度;性能图坐标;边界|从真实 CSV 生成三类算子性能图和一张架构图|曲线可由脚本重建；含单位和硬件；不挑单点倍数代替完整范围
cpp@9.4|复现包;随机种子;失败输入|补非对齐、极值和 capability check 回归，收束项目 A 功能|核心 Softmax/RMSNorm/RoPE 都可用；选修未完成不影响核心验收
# W22
decoder@2;norm@5.2|真实模型接入;算子替换;残差误差|把项目 A 的 RMSNorm/RoPE 接入小 Decoder，保留原生路径|同权重/输入的最终输出一致；trace 能看到自定义 kernel 被实际调用
infer@3.1,3.2;torch@6.1|端到端与单 kernel;launch 开销;峰值显存|测原生与自定义 Decoder，分 prefill/decode、计算与拷贝|同输入与 batch；记录峰值显存及端到端延迟；没有端到端提升也如实展示
cpp@5.7,9.4|环境检查;新进程;依赖锁定|从干净环境按文档复现项目 A，修复一个真实阻塞点|无需未提交文件；测试与基准都能跑；缺硬件时不把未测项当通过
cpp@9.1|README;支持矩阵;结果溯源|整理项目 A 的使用例子、设计、性能、限制四节|陌生人能找到 API、复现命令、原始 CSV；注明借鉴项目及许可证
infer@4.2|性能故事;因果证据;限制表达|录一段 8–10 分钟项目讲解，从一个慢 shape 走到代码与测量|讲解中的每个数字能对应 CSV；说清未提升案例；不以背八股替代源码
cpp@9.2|版本封版;未完成项;可追溯变更|仅在核心测试通过后建立本地 v1.0 标签和 release checklist|标签对应正确代码；不发布或改动第三方仓库；核心未过就继续修复
cpp@9.4|故障注入;诊断信息;入口稳定|换一个未测过的合法 shape，验证安装、API、benchmark 全链路|新输入通过或明确不支持；没有静默错误；项目 A 才算结束
# W23
compiler@本章简介;!tvm|子图范围;编译器 pipeline;非目标|为项目 B 写 RFC：固定 RMSNorm+MLP 子图，TVM/Relax 主后端，不另造通用框架|目标、输入格式、支持 dtype/shape、baseline、fallback 写全；Attention 全图为选修
!tvm|frontend 导入;参数绑定;规范化|导入项目 B 子图到当前版本 Relax，保存原始和规范化 IR|同输入模型可加载；权重和 shape 正确；前端范围固定为一种
!tvm|layout/dtype 契约;能力检查|写支持矩阵与入口检查，构造三个拒绝输入|非法 dtype、layout、rank 均有具体报错；不靠运行后崩溃识别输入
!tvm;!compile|基线统一;编译成本;稳态延迟|建立 eager/torch.compile/未优化 TVM 三条基线|同权重/输入/精度；数值通过后测量；结果含编译、首轮和稳态
!tvm|importer 回归;权重常量;不支持 op|为导入器增加正常、错误 shape、unsupported op 测试|IR 快照与数值结果同时检查；失败路径有可读原因
!tvm|IR 不变量;Pass 边界;执行入口|保存一次 frontend→Relax→TIR→runtime 的完整产物索引|每层能找到真实文件；注明哪些为自己代码、哪些来自 TVM
!tvm|最小编译产物;版本锁定;测试数据|完成可复现 compile/run 命令，不新增优化|新进程能编译运行子图；初始性能表和精度阈值固定，避免之后换基线
# W24
!tvm;norm@3.3|RMSNorm PrimFunc;归约轴;epsilon|为 RMSNorm 写项目 B 的 TIR baseline，先做连续 FP32|对三种 hidden size 数值通过；IR 可检查；不混入 schedule 优化
!tvm;gemm@4.1|循环分块;cache scope;合法性|逐步给 TIR 加 split/reorder/cache，各保留一个中间 IR|每步数值回归通过；能指明新增的数据复用
!tvm;model@3.3|thread binding;尾部谓词;协作加载|绑定 GPU 线程，针对非整行长验证 mask|hidden=513 等边界通过；不支持路径显式 fallback
!tvm;occupancy@3.1|向量化;寄存器压力;局部优化|只加一个向量化或寄存器分块变化并测量|结果正确；保留两组 shape 的时间与资源数据；不追求无证据的复杂 schedule
!tvm;access@2.1|手写与生成 kernel;等价循环;访存结构|对照项目 A 与 TIR 输出的 CUDA，标记归约、加载、写回路径|说明三处相同/不同的具体位置；同输入数值和计时可复现
!tvm|trace 重放;回归;支持范围|为 schedule 建测试集和重放脚本，固定当前设备参数|同 trace 能重建 kernel；边界输入与拒绝路径均有测试
!tvm|模块化 schedule;通用 fallback|把 baseline/optimized schedule 整理成两条清晰入口|关闭优化时结果一致；切换无需改模型；项目能继续进入 Pass 阶段
# W25
!tvm|模式结构;外部使用者;安全条件|只选一个明确模式实现匹配，先列匹配正例/负例|至少正常、额外使用者、错误 dtype 三类；记录不匹配原因
!tvm|rewrite;IRModule 更新;结构验证|实现该模式的重写，保存前后 IR 和节点变化|合法性检查通过；只有满足条件的模式被替换；不误伤外部分支
!tvm|误差阈值;layout;shape 回归|对 Pass 前后跑参数化数值测试|FP32/FP16 与非对齐 shape 覆盖；至少 10 个图测试，含拒绝/不匹配例
!tvm|符号维度;specialization;guard|支持有限 batch 集合的 guard 与特化，暂不承诺任意动态 shape|支持 batch 走对应编译产物；其他 batch 明确 fallback；缓存键包含 shape/dtype/device
!tvm|混合图;fallback;诊断|对不支持节点保留 eager 路径或整图 fallback，清楚固定一种方案|不支持输入不改变结果；日志说明 fallback 原因；不无限重试编译
!tvm;infer@3.1|融合收益;kernel 数;稳态对比|测 Pass 开关对 kernel 数和端到端延迟的影响|同模型同输入；记录一次融合无收益条件；不把图节点少等同执行 kernel 少
!tvm|幂等性;Pass 顺序;回归覆盖|将图测试补到至少 20 个，覆盖两次运行 Pass|第二次 IR 不再变化；历史错误有回归；所有支持/拒绝路径符合 RFC
# W26
!tvm|runtime module;调用入口;设备数组|从实际运行追踪 module load 到算子调用，记录对应代码位置|代码路径与选定 TVM 版本一致；给出一次真实执行输出
!torch-custom;!tvm|外部 kernel ABI;输入所有权;调用成本|接入项目 A 的一个算子作为外部实现；先只支持单个固定接口|与 TIR/原生实现一致；调用链能证明外部 kernel 真被执行；明确接入方式
!tvm|capability check;版本错配;诊断|加入加载前的版本/设备/算子能力检查|缺实现和设备不支持能在入口被发现；fallback 结果正确
infer@3.1,3.2|加载/编译/首轮/稳态;峰值显存|测 runtime 各阶段耗时，避免将缓存后的编译产物当首次编译|各阶段分栏；固定 workload；报告缓存是否命中
decoder@2;!tvm|模型级接入;子图边界;数值传播|把编译后 RMSNorm+MLP 接入小 Decoder，其余部分保持原生|端到端输出对齐；trace 证实使用编译子图；不把单独跑子图称完整模型部署
!tvm|OOM 风险;不支持 shape;安全失败|通过受控过小内存预算或非法输入模拟资源不足，验证诊断|不制造系统失控 OOM；错误明确、无静默错算；保留最小用例
!tvm|缓存生命周期;重复加载;资源释放|重复创建、运行、释放编译模块，检查资源趋势|多次执行结果稳定；显存/资源不持续无界增长；说明缓存保留与泄漏区别
# W27
!tvm|范围冻结;未完成项隔离;版本可追溯|冻结项目 B 子图/dtype/shape，隔离选修分支|README 与实际 capability check 一致；半成品不列为已支持
!tvm|全链路不变量;统一入口|从输入模型一键完成导入、Pass、TIR、runtime 与数值检查|输出、IR 和运行日志都落盘；不依赖手工复制中间文件
!tvm|图测试与数值测试;历史 bug|在新进程跑全套 20+ 回归，再补一个历史失败输入|测试覆盖支持与拒绝路径；输出测试计数和失败原因；不是凑断言数量
infer@3.1,3.2;vector@5.2|可比较 workload;统计;端到端指标|对小 batch、大 batch、非对齐 hidden 三组跑完整基线对照|误差先过；记录编译与稳态；原始数据可重建图表
cpp@9.4|陌生环境复现;README 可执行|从新环境复现项目 B；有同学协助时记录真实反馈，没有就自行干净复现|没有隐含路径；失败修复有记录；不虚构他人评审
cpp@9.2|版本封版;项目表述;可追问证据|核心通过后做本地 v1.0 标签；准备简短源码演示|每条功能能现场运行；每个性能数字有数据；不承诺秋招录取
!tvm|能力回归;基线可信;范围控制|抽查一个支持输入和一个 fallback 输入，全链路重新运行|两个路径结果正确；说明未支持动态 shape、完整服务等限制
# W28
cpp@9.1,9.4|issue 范围;复现条件;上游协作|在 TVM/Triton/MLIR 选一个与项目相关的小 issue，先核对是否仍存在|记录 issue 链接、版本与复现条件；不因标题简单就开始大改
cpp@9.4|最小输入;预期与实际;环境|编写可独立运行的复现包，去除无关依赖|别人能看到同样行为或明确设备前提；没有复现就不写已定位
cpp@9.4|调用链;假设验证;根因边界|沿输入到错误处定位两到三个关键函数，验证一个假设|证据指向具体代码；区分已证实根因和猜测
cpp@9.1|回归测试;最小补丁;影响范围|在本地 fork 写测试或文档修正，先不向上游发送|改前测试失败、改后通过，或文档示例实测通过；不扩大成重构
cpp@9.1|贡献规范;审阅材料;公开发送边界|准备 PR/issue 草稿和测试说明；实际发送前自行确认|草稿包含问题、变更、测试、限制；没有公开提交就不声称 PR 已提交
cpp@9.2|review 反馈;未合并与已合并区别|有真实反馈就处理；否则继续缩小复现与改善测试|保留实际状态；不为简历伪造贡献、合并或反馈
cpp@9.4|可追溯协作成果;代码署名|整理源码走读与复现包，链接原始 issue/代码|本地结果和公开结果分别说明；即使未合并也能讲清复现工作
# W29
cpp@9.4|算子项目审计;证据链|审计项目 A 的 API、测试、性能、真实接入与限制|缺项逐条列出并修复最严重的一项；已有数据可复现
!tvm|编译器项目审计;IR/Pass/runtime|审计项目 B 的支持矩阵、IR、guard、fallback 和端到端结果|每项有代码/测试/日志位置；不能解释的功能不写简历
cpp@9.1|环境一致性;脚本入口;数据组织|统一两项目 README、依赖文件和结果目录，清理本地绝对路径|复制到不同目录仍可按说明执行；不删除必要原始证据
compiler@本章简介|岗位能力与证据;简历边界|写一页简历：每项目只写问题、自己实现、真实结果和限制|不将教程运行写成自研编译器；未测性能不写倍数；不称千卡训练经验
infer@4.2|因果说明;源码演示;简洁表达|分别录制两项目 2 分钟概览与 5 分钟深入版本|说明一个具体失败/退化例；技术术语能指向代码和数据
cpp@9.4|可复现性;新输入检查|请同学复现或自行换环境，修复一个入口问题|保留真实反馈或自测记录；未获得外部反馈如实说明
cpp@9.2|成果归档;版本状态|检查两仓库的 license、引用、环境、测试和结果是否齐全|产物与简历描述一致；所有性能图能由已保存 CSV 生成
# W30
cpp@4.4,4.6,5.7|RAII;拷贝移动;构建链接|限时重写一个最小 RAII 类和 CMake library/demo/test 骨架|拷贝/移动语义清楚、无泄漏；link 关系正确；不查看旧实现也能完成
reduce@8.2;softmax@1.3|归约并行划分;mask;数值稳定|白板设计 reduction/softmax，再用现有测试验证代码|线程划分和同步正确；非整大小与极值通过；记录真实错误
!tvm;!compile|图捕获;融合前提;schedule 与 runtime|从自己的项目选一个输入，讲解全链路并现场关闭一个优化|关闭后结果一致；能解释性能变化与 guard，不背不存在的支持能力
compiler@本章简介|JD 到证据映射;岗位范围|找 3 个当前有效岗位，逐条匹配已完成项目证据与缺口|每项写已证明/了解/未覆盖；不把学习计划当已掌握能力
cpp@9.4|限时调试;问题分层;最小复现|做一次 C++/算法模拟和一次 GPU/编译器项目模拟，优先修错|保留计时和具体错误；可独立修复至少一个失败例
cpp@9.1|投递材料;可访问性;项目可运行|检查简历、项目链接和演示入口，形成投递清单|链接可打开、联系方式正确、演示可运行；不自动对外投递
cpp@9.4|查漏与边界;后续维护|只处理最后一个最影响面试的缺口，并归档 30 周实际完成情况|未完成清楚标出，不因日历结束自动标完成；4 月起按真实面试反馈补缺
